Elev.,Lake area km^2,Zmax,Prec,MEAN,Conductivity,TP,TN
120,35.3,5.5,246,-4.9,128.2,16.333333,746.666667
185,36.8,11.2,265,-5.2,321.1666667,10.5,652.5
175,184,22.2,271,-5.3,3601,9,802.5
175,116,28.5,274,-5.3,4072.333333,10,770
175,21.5,12.8,274,-5.3,3244,12,956
185,3.8,6.2,271,-5.2,219,34,1217.5
490,3.4,2.2,274,-5.2,296.5,8,612.5
520,28.9,26.7,274,-5.2,287,9,288.5
480,8.6,4,276,-5.2,97,17,625
470,24.2,18,276,-5.2,175.5,6,223
490,16.4,20,276,-5.2,64.75,4.333333,196.666667
475,35.8,32,274,-5.2,79.6,5.25,286
215,30.6,11.2,252,-5,2797.8,30.666667,1263.333333
470,17,9,275,-5.3,85,8.333333,450
445,75,16.2,275,-5.3,107,9.666667,408.333333
470,26,30,267,-5.2,147.5,8.5,370.5
470,28,11,265,-5.1,113.2,4.333333,262
370,21,30,263,-5.3,130.5,6.8,386
370,10.7,16.2,263,-5.3,142.3333333,12.333333,606.666667
470,16.3,21,328,-5.4,51,5,307.5
160,50,12.4,344,-4.9,94,4,360
335,9.5,7.5,344,-4.9,110,7,683.333333
60,3.2,10.3,367,-4.4,47.33333333,5.333333,276.666667
330,1.5,9,364,-4.3,24.33333333,3,110
330,2.6,3.7,364,-4.3,29.14285714,4.25,142.5
320,20.7,10.5,364,-4.3,27.42857143,3.666667,143.333333
45,3.1,14.5,415,-3.6,43.33333333,4,100
45,1.3,8.3,415,-3.6,42.6,6,90
50,7.3,8.3,415,-3.6,36.33333333,7.5,175
40,40.9,25,415,-3.6,43,5.666667,130
240,13.5,9,303,-5.1,1465,19,1860
330,24,26,307,-5,233.5,0,0
340,144,47,307,-5,226.25,1,50
345,8.4,21,307,-5,345.5,5,355
50,168,67,415,-3.6,36.6,6,110
50,11.8,18,415,-3.6,40.25,6,180
178,24.6,13,274,-5.3,616,6,1115
