Elev.,Lake area km^2,Zmax,Prec,MEAN,Water T,pH,Cond,TN,TC
73,0.053,1.3,760,2.2,0.812913,6.39,2.27646,0.229028,1.27933
66,0.054,0.8,760,2.2,0.812913,7.19,2.11059,-0.736066,0.33104
43,0.383,1.1,745,2.5,0.763428,7.25,2.38561,0.192908,1.18829
23,0.026,0.5,783,1.9,0.770852,7.4,2.27416,-0.760189,0.322
90,1.5,56.9,802,2.3,1.04139,7.28,1.86923,-0.644691,0.541033
178,0.31,2.7,827,1.9,0.80618,6.8,2.04532,-0.156812,0.831942
175,0.125,0.4,839,1.7,0.748188,6.69,2.04922,-0.900817,0.172134
162,0.073,4.3,802,2.1,0.819544,6.87,2.21748,0.163306,1.12907
157,0.06,1.4,794,2.3,0.819544,7.28,2.13672,-0.199019,0.961486
437,0.118,1.4,919,0.8,0.716003,7.47,1.91381,-0.341723,0.669083
418,0.621,1.8,916,0.9,0.770852,7.53,1.86923,-0.26183,0.741826
441,0.163,3.6,922,0.7,0.770852,7.35,1.88081,-0.229541,0.74764
317,0.036,0.9,943,1.7,0.78533,7.37,1.93952,-0.0822225,0.934894
123,0.578,3.8,937,2.1,0.886491,7.5,1.94448,0.138755,1.07843
46,0.572,1.4,913,2.3,0.973128,7.57,2.09342,0.165303,1.11724
402,0.125,1.3,1103,1.9,0.812913,7.53,2.10721,-0.150218,0.74389
381,0.045,0.6,1118,2.2,0.80618,6.25,1.89209,-0.665489,0.364135
498,0.056,2.3,1162,1.6,0.819544,6.07,1.83251,-0.293522,0.810953
426,0.05,0.6,1181,0.9,0.897627,6.95,1.83251,-0.490127,0.516597
28,0.325,0.6,826,2.9,0.968483,6.98,1.91381,-1.72899,-0.556635
422,0.263,2,922,0.7,0.875061,6.99,1.79934,-0.331568,0.629701
484,0.187,2.5,923,0.7,0.838849,6.94,1.77815,-0.25269,0.715101
453,0.092,7.6,914,0.9,0.838849,6.8,1.77085,-0.20076,0.784897
462,0.067,3.4,916,0.8,0.812913,6.73,1.76343,-0.237771,0.788733
369,0.107,0.7,910,1.1,0.954243,7.08,1.93952,-0.716575,0.332507
391,0.058,0.8,910,1.1,0.963788,7.13,1.87506,-0.904251,0.154751
489,0.187,2.2,914,0.8,0.954243,7.08,1.77815,-0.129116,0.858222
60,0.176,1.3,821,2.5,1.06446,8.25,2.21219,-0.375986,0.601329
396,0.168,21.3,889,1.2,0.826075,6.88,1.96379,-0.345563,0.591985
391,0.101,3.1,889,1.2,0.913814,6.85,1.86923,-0.127435,0.78785
398,0.07,3.3,875,1.4,0.944483,6.93,1.79934,-0.273914,0.729564
375,0.022,1.7,875,1.4,1,6.97,1.82607,-0.284443,0.87137
173,0.088,0.9,858,2.6,1,7.55,2.1271,-0.456077,0.66183
52,2.6,40,878,2.4,0.982271,7.7,2.01284,-0.828849,0.257125
65,0.239,1,803,3.5,0.977724,7.48,2.1959,-0.79895,0.278691
158,0.229,11.6,843,3.1,0.934498,7.84,2.10721,-0.306872,0.736088
25,0.195,2.3,793,3.9,0.991226,6.98,2.2878,0.279572,1.30847
21,0.53,3.3,964,4.4,1.00432,7.57,2.22011,0.197552,1.16237
72,2.7,17.8,816,3.6,0.954243,7.14,2.2878,-0.349593,0.656006
46,0.167,0.7,823,3.9,1.01703,7.1,2.15534,-0.290207,0.85957
301,0.061,1.3,1164,2.9,1.05308,7.14,1.73239,-0.330024,0.674147
206,0.024,3.1,1176,2.9,1.06446,7.04,1.8451,-0.190306,0.843593
12,0.099,1.3,807,4,1.0607,8.39,2.3075,-0.147591,0.997046
21,0.071,1.2,784,3.8,1.06446,7.17,2.15534,0.0296649,1.2175
11,0.287,14.3,803,3.5,1.10721,6.95,1.92942,-0.154193,0.846089
198,1.6,32.4,978,2.6,1.03743,7.03,1.66276,-0.330088,0.689412
25,0.812,1.2,917,4.3,1.06446,7.72,2.08636,0.183589,1.26455
86,4.1,19,849,3.1,1.04532,7.58,1.82607,-0.608456,0.433611
20,2.1,33.8,1011,3.2,1.07555,6.7,1.49136,-0.195846,0.684381
550,0.256,18.8,1133,1,0.939519,6.67,1.50515,-0.393229,0.572712
297,0.01,1,1113,1.7,0.968483,6.77,1.4624,-0.853254,0.245421
213,0.032,0.7,1113,1.7,0.963788,7.2,1.59106,-1.02493,-0.0214108
8,1,1.5,1076,2.3,0.90309,7.08,1.86332,-0.984874,0.0329645
