x,y
-1298832,7968469
-1299362,7968607
-1297925,7966179
-1301377,7970646
-1335472,7949241
-1332424,7955565
-1333395,7956438
-1325323,7953568
-1324745,7953008
-1343942,7966492
-1344906,7971033
-1344932,7968384
-1358736,7986344
-1350409,8000655
-1346296,8003919
-1379467,8000021
-1394155,7990379
-1393192,7994650
-1391688,7994307
-1367412,7960287
-1346012,7968480
-1347946,7964207
-1347415,7962520
-1347286,7960791
-1344917,7973721
-1345705,7972276
-1346900,7957465
-1358744,7949320
-1346872,7939246
-1346936,7939282
-1348781,7938587
-1350380,7938335
-1352263,7893304
-1376233,7888832
-1397443,7900268
-1409665,7898788
-1420956,7924140
-1454147,7918890
-1411526,7896309
-1425082,7883512
-1464871,7935680
-1465575,7936978
-1422758,7926319
-1418630,7924894
-1397991,7900407
-1436111,7917278
-1449788,7913405
-1409620,7892902
-1392446,7984892
-1383115,7994270
-1383147,7998341
-1381980,7999419
-1355857,8035122
