Elev.,Lake area km^2,Zmax,Prec,MEAN,pH,TP,Cond.µS/cm,Alk,TN,Av air temp 1960-90
30,9.463693,8.1,582,-2.6,7.06,10.03009027,39,8.955,276.289939,9.403330036
51,7.046298,9,582,-2.6,5.69,13.03911735,26,14.0295,165.8566849,9.465970698
94,4.007079,5.75,582,-2.6,4.26,24.07221665,32,6.368,220.8665081,9.574987379
106,30.243601,2.38,573,-2.4,5.82,5.516549649,26,7.761,140.213008,9.667780581
210,20.533244,7.3,573,-2.4,7.32,31.09327984,27,5.6715,147.4511426,9.756967704
143,41.759038,4.1,573,-2.4,6.96,7.522567703,23,4.975,146.1779169,9.735866904
193,10.373921,4.6,582,-2.6,7.02,17.55265797,30,5.373,108.9856271,9.894938287
230,0.272119,2.1,582,-2.6,6.6,17.55265797,37,7.0645,229.3249888,9.960110594
262,2.605553,8.4,608,-3.1,6.23,17.55265797,34,2.2885,180.3755029,10.06648199
275,9.045683,8.7,608,-3.1,7.3,5.015045135,37,7.2635,175.2346893,10.10159472
310,7.770412,20.1,608,-3.1,7.36,4.513540622,41,7.6615,122.4854716,10.18888021
319,6.78173,9.8,582,-2.6,6.95,25.07522568,25,3.0845,116.4506035,10.16611594
319,1.64839,5.6,671,-4.1,6.79,13.03911735,17,2.587,116.4506035,10.03557505
364,0.431505,4.3,608,-3.1,7.03,4.513540622,46,10.547,203.2881812,10.06752563
400,1.317751,4.25,608,-3.1,7.25,15.04513541,28,5.2735,152.8833259,9.934566604
423,0.099374,1.2,582,-2.6,7.16,10.03009027,13,0.995,119.7394272,9.725048041
491,1.696331,6.8,608,-3.1,7.06,14.54363089,28,7.363,81.27391169,9.433885677
500,0.363681,3,618,-3.4,5.72,3.510531595,26,4.577,175.6817166,9.399362108
514,0.227369,4.9,618,-3.4,6.91,3.009027081,27,7.8605,156.1369041,9.32156239
605,11.470951,6.2,671,-4.1,6.62,9.528585757,17,3.582,49.39651319,8.592142583
608,0.835875,4.2,658,-3.8,7.55,13.03911735,15,3.8805,84.26464014,8.545590907
617,15.328168,9.6,671,-4.1,7.15,18.555667,17,3.8805,153.7773804,8.55905522
630,0.284475,4.95,671,-4.1,6.94,4.012036108,25,6.0695,65.93652213,8.505745701
700,3.331673,3.9,687,-4.4,7.23,15.04513541,16,2.985,93.65221278,8.155600732
835,1.994457,8.8,671,-4.1,7,14.54363089,9,1.194,27.04514975,7.365141887
